name,name2,state,vote,party,state2,vote2,party2,cross_party,storm,sharevote
Alan “Al” Franken,Amy Klobuchar,MN,1,Democrat,MN,1,Democrat,1,0,1
Alan “Al” Franken,Angus King,MN,1,Democrat,ME,1,Independent,0,0,1
Alan “Al” Franken,Barbara Boxer,MN,1,Democrat,CA,1,Democrat,1,0,1
Alan “Al” Franken,Barbara Mikulski,MN,1,Democrat,MD,1,Democrat,1,0,1
Alan “Al” Franken,Benjamin Cardin,MN,1,Democrat,MD,1,Democrat,1,0,1
Alan “Al” Franken,Bernard “Bernie” Sanders,MN,1,Democrat,VT,1,Independent,0,0,1
Alan “Al” Franken,Bill Nelson,MN,1,Democrat,FL,1,Democrat,1,0,1
Alan “Al” Franken,Bob Corker,MN,1,Democrat,TN,1,Republican,0,0,1
Alan “Al” Franken,Carl Levin,MN,1,Democrat,MI,1,Democrat,1,0,1
Alan “Al” Franken,Charles “Chuck” Grassley,MN,1,Democrat,IA,1,Republican,0,0,1
Alan “Al” Franken,Charles “Chuck” Schumer,MN,1,Democrat,NY,1,Democrat,1,0,1
Alan “Al” Franken,Christopher Coons,MN,1,Democrat,DE,1,Democrat,1,0,1
Alan “Al” Franken,Christopher Murphy,MN,1,Democrat,CT,1,Democrat,1,0,1
Alan “Al” Franken,Claire McCaskill,MN,1,Democrat,MO,1,Democrat,1,0,1
Alan “Al” Franken,Cory Booker,MN,1,Democrat,NJ,1,Democrat,1,0,1
Alan “Al” Franken,Daniel Coats,MN,1,Democrat,IN,1,Republican,0,0,1
Alan “Al” Franken,David Vitter,MN,1,Democrat,LA,1,Republican,0,0,1
Alan “Al” Franken,Dean Heller,MN,1,Democrat,NV,1,Republican,0,0,1
Alan “Al” Franken,Deb Fischer,MN,1,Democrat,NE,1,Republican,0,0,1
Alan “Al” Franken,Debbie Stabenow,MN,1,Democrat,MI,1,Democrat,1,0,1
Alan “Al” Franken,Dianne Feinstein,MN,1,Democrat,CA,1,Democrat,1,0,1
Alan “Al” Franken,Edward “Ed” Markey,MN,1,Democrat,MA,1,Democrat,1,0,1
Alan “Al” Franken,Elizabeth Warren,MN,1,Democrat,MA,1,Democrat,1,0,1
Alan “Al” Franken,Harry Reid,MN,1,Democrat,NV,1,Democrat,1,0,1
Alan “Al” Franken,Heidi Heitkamp,MN,1,Democrat,ND,1,Democrat,1,0,1
Alan “Al” Franken,James “Jim” Inhofe,MN,1,Democrat,OK,1,Republican,0,0,1
Alan “Al” Franken,Jeanne Shaheen,MN,1,Democrat,NH,1,Democrat,1,0,1
Alan “Al” Franken,Jeff Merkley,MN,1,Democrat,OR,1,Democrat,1,0,1
Alan “Al” Franken,Jerry Moran,MN,1,Democrat,KS,1,Republican,0,0,1
Alan “Al” Franken,Joe Donnelly,MN,1,Democrat,IN,1,Democrat,1,0,1
Alan “Al” Franken,Joe Manchin,MN,1,Democrat,WV,1,Democrat,1,0,1
Alan “Al” Franken,John “Jay” Rockefeller,MN,1,Democrat,WV,1,Democrat,1,0,1
Alan “Al” Franken,John “Johnny” Isakson,MN,1,Democrat,GA,1,Republican,0,0,1
Alan “Al” Franken,John Barrasso,MN,1,Democrat,WY,1,Republican,0,0,1
Alan “Al” Franken,John Boozman,MN,1,Democrat,AR,1,Republican,0,0,1
Alan “Al” Franken,John F. “Jack” Reed,MN,1,Democrat,RI,1,Democrat,1,0,1
Alan “Al” Franken,John Hoeven,MN,1,Democrat,ND,1,Republican,0,0,1
Alan “Al” Franken,John Thune,MN,1,Democrat,SD,1,Republican,0,0,1
Alan “Al” Franken,John Walsh,MN,1,Democrat,MT,1,Democrat,1,0,1
Alan “Al” Franken,Jon Tester,MN,1,Democrat,MT,1,Democrat,1,0,1
Alan “Al” Franken,Kay Hagan,MN,1,Democrat,NC,1,Democrat,1,0,1
Alan “Al” Franken,Kelly Ayotte,MN,1,Democrat,NH,1,Republican,0,0,1
Alan “Al” Franken,Kirsten Gillibrand,MN,1,Democrat,NY,1,Democrat,1,0,1
Alan “Al” Franken,Lindsey Graham,MN,1,Democrat,SC,1,Republican,0,0,1
Alan “Al” Franken,Lisa Murkowski,MN,1,Democrat,AK,1,Republican,0,0,1
Alan “Al” Franken,Maria Cantwell,MN,1,Democrat,WA,1,Democrat,1,0,1
Alan “Al” Franken,Mark Begich,MN,1,Democrat,AK,1,Democrat,1,0,1
Alan “Al” Franken,Mark Kirk,MN,1,Democrat,IL,1,Republican,0,0,1
Alan “Al” Franken,Mark Pryor,MN,1,Democrat,AR,1,Democrat,1,0,1
Alan “Al” Franken,Mark Udall,MN,1,Democrat,CO,1,Democrat,1,0,1
Alan “Al” Franken,Mark Warner,MN,1,Democrat,VA,1,Democrat,1,0,1
Alan “Al” Franken,Martin Heinrich,MN,1,Democrat,NM,1,Democrat,1,0,1
Alan “Al” Franken,Mary Landrieu,MN,1,Democrat,LA,1,Democrat,1,0,1
Alan “Al” Franken,Mazie Hirono,MN,1,Democrat,HI,1,Democrat,1,0,1
Alan “Al” Franken,Michael Bennet,MN,1,Democrat,CO,1,Democrat,1,0,1
Alan “Al” Franken,Michael Enzi,MN,1,Democrat,WY,1,Republican,0,0,1
Alan “Al” Franken,Mike Johanns,MN,1,Democrat,NE,1,Republican,0,0,1
Alan “Al” Franken,Mitch McConnell,MN,1,Democrat,KY,1,Republican,0,0,1
Alan “Al” Franken,Patrick Leahy,MN,1,Democrat,VT,1,Democrat,1,0,1
Alan “Al” Franken,Patty Murray,MN,1,Democrat,WA,1,Democrat,1,0,1
Alan “Al” Franken,Richard Blumenthal,MN,1,Democrat,CT,1,Democrat,1,0,1
Alan “Al” Franken,Richard Durbin,MN,1,Democrat,IL,1,Democrat,1,0,1
Alan “Al” Franken,Robert “Bob” Casey,MN,1,Democrat,PA,1,Democrat,1,0,1
Alan “Al” Franken,Robert “Bob” Menendez,MN,1,Democrat,NJ,1,Democrat,1,0,1
Alan “Al” Franken,Roger Wicker,MN,1,Democrat,MS,1,Republican,0,0,1
Alan “Al” Franken,Ron Wyden,MN,1,Democrat,OR,1,Democrat,1,0,1
Alan “Al” Franken,Roy Blunt,MN,1,Democrat,MO,1,Republican,0,0,1
Alan “Al” Franken,Saxby Chambliss,MN,1,Democrat,GA,1,Republican,0,0,1
Alan “Al” Franken,Sheldon Whitehouse,MN,1,Democrat,RI,1,Democrat,1,0,1
Alan “Al” Franken,Sherrod Brown,MN,1,Democrat,OH,1,Democrat,1,0,1
Alan “Al” Franken,Susan Collins,MN,1,Democrat,ME,1,Republican,0,0,1
Alan “Al” Franken,Tammy Baldwin,MN,1,Democrat,WI,1,Democrat,1,0,1
Alan “Al” Franken,Thad Cochran,MN,1,Democrat,MS,1,Republican,0,0,1
Alan “Al” Franken,Thomas “Tom” Harkin,MN,1,Democrat,IA,1,Democrat,1,0,1
Alan “Al” Franken,Thomas Carper,MN,1,Democrat,DE,1,Democrat,1,0,1
Alan “Al” Franken,Tim Johnson,MN,1,Democrat,SD,1,Democrat,1,0,1
Alan “Al” Franken,Timothy “Tim” Kaine,MN,1,Democrat,VA,1,Democrat,1,0,1
Alan “Al” Franken,Tom Udall,MN,1,Democrat,NM,1,Democrat,1,0,1
Amy Klobuchar,Alan “Al” Franken,MN,1,Democrat,MN,1,Democrat,1,0,1
Amy Klobuchar,Angus King,MN,1,Democrat,ME,1,Independent,0,0,1
Amy Klobuchar,Barbara Boxer,MN,1,Democrat,CA,1,Democrat,1,0,1
Amy Klobuchar,Barbara Mikulski,MN,1,Democrat,MD,1,Democrat,1,0,1
Amy Klobuchar,Benjamin Cardin,MN,1,Democrat,MD,1,Democrat,1,0,1
Amy Klobuchar,Bernard “Bernie” Sanders,MN,1,Democrat,VT,1,Independent,0,0,1
Amy Klobuchar,Bill Nelson,MN,1,Democrat,FL,1,Democrat,1,0,1
Amy Klobuchar,Bob Corker,MN,1,Democrat,TN,1,Republican,0,0,1
Amy Klobuchar,Carl Levin,MN,1,Democrat,MI,1,Democrat,1,0,1
Amy Klobuchar,Charles “Chuck” Grassley,MN,1,Democrat,IA,1,Republican,0,0,1
Amy Klobuchar,Charles “Chuck” Schumer,MN,1,Democrat,NY,1,Democrat,1,0,1
Amy Klobuchar,Christopher Coons,MN,1,Democrat,DE,1,Democrat,1,0,1
Amy Klobuchar,Christopher Murphy,MN,1,Democrat,CT,1,Democrat,1,0,1
Amy Klobuchar,Claire McCaskill,MN,1,Democrat,MO,1,Democrat,1,0,1
Amy Klobuchar,Cory Booker,MN,1,Democrat,NJ,1,Democrat,1,0,1
Amy Klobuchar,Daniel Coats,MN,1,Democrat,IN,1,Republican,0,0,1
Amy Klobuchar,David Vitter,MN,1,Democrat,LA,1,Republican,0,0,1
Amy Klobuchar,Dean Heller,MN,1,Democrat,NV,1,Republican,0,0,1
Amy Klobuchar,Deb Fischer,MN,1,Democrat,NE,1,Republican,0,0,1
Amy Klobuchar,Debbie Stabenow,MN,1,Democrat,MI,1,Democrat,1,0,1
Amy Klobuchar,Dianne Feinstein,MN,1,Democrat,CA,1,Democrat,1,0,1
Amy Klobuchar,Edward “Ed” Markey,MN,1,Democrat,MA,1,Democrat,1,0,1
