name,name2,state,vote,party,state2,vote2,party2,cross_party,storm,sharevote
Barbara Mikulski,Benjamin Cardin,MD,1,Democrat,MD,1,Democrat,1,1,1
Barbara Mikulski,Charles “Chuck” Schumer,MD,1,Democrat,NY,1,Democrat,1,1,1
Barbara Mikulski,Christopher Coons,MD,1,Democrat,DE,1,Democrat,1,1,1
Barbara Mikulski,Christopher Murphy,MD,1,Democrat,CT,1,Democrat,1,1,1
Barbara Mikulski,Elizabeth Warren,MD,1,Democrat,MA,1,Democrat,1,1,1
Barbara Mikulski,Frank Lautenberg,MD,1,Democrat,NJ,1,Democrat,1,1,1
Barbara Mikulski,Jeanne Shaheen,MD,1,Democrat,NH,1,Democrat,1,1,1
Barbara Mikulski,Joe Manchin,MD,1,Democrat,WV,1,Democrat,1,1,1
Barbara Mikulski,John “Jay” Rockefeller,MD,1,Democrat,WV,1,Democrat,1,1,1
Barbara Mikulski,John F. “Jack” Reed,MD,1,Democrat,RI,1,Democrat,1,1,1
Barbara Mikulski,John Kerry,MD,1,Democrat,MA,1,Democrat,1,1,1
Barbara Mikulski,Kirsten Gillibrand,MD,1,Democrat,NY,1,Democrat,1,1,1
Barbara Mikulski,Maria Cantwell,MD,1,Democrat,WA,1,Democrat,1,1,1
Barbara Mikulski,Richard Blumenthal,MD,1,Democrat,CT,1,Democrat,1,1,1
Barbara Mikulski,Robert “Bob” Casey,MD,1,Democrat,PA,1,Democrat,1,1,1
Barbara Mikulski,Robert “Bob” Menendez,MD,1,Democrat,NJ,1,Democrat,1,1,1
Barbara Mikulski,Sheldon Whitehouse,MD,1,Democrat,RI,1,Democrat,1,1,1
Barbara Mikulski,Thomas Carper,MD,1,Democrat,DE,1,Democrat,1,1,1
Benjamin Cardin,Barbara Mikulski,MD,1,Democrat,MD,1,Democrat,1,1,1
Benjamin Cardin,Charles “Chuck” Schumer,MD,1,Democrat,NY,1,Democrat,1,1,1
Benjamin Cardin,Christopher Coons,MD,1,Democrat,DE,1,Democrat,1,1,1
Benjamin Cardin,Christopher Murphy,MD,1,Democrat,CT,1,Democrat,1,1,1
Benjamin Cardin,Elizabeth Warren,MD,1,Democrat,MA,1,Democrat,1,1,1
Benjamin Cardin,Frank Lautenberg,MD,1,Democrat,NJ,1,Democrat,1,1,1
Benjamin Cardin,Jeanne Shaheen,MD,1,Democrat,NH,1,Democrat,1,1,1
Benjamin Cardin,Joe Manchin,MD,1,Democrat,WV,1,Democrat,1,1,1
Benjamin Cardin,John “Jay” Rockefeller,MD,1,Democrat,WV,1,Democrat,1,1,1
Benjamin Cardin,John F. “Jack” Reed,MD,1,Democrat,RI,1,Democrat,1,1,1
Benjamin Cardin,John Kerry,MD,1,Democrat,MA,1,Democrat,1,1,1
Benjamin Cardin,Kirsten Gillibrand,MD,1,Democrat,NY,1,Democrat,1,1,1
Benjamin Cardin,Maria Cantwell,MD,1,Democrat,WA,1,Democrat,1,1,1
Benjamin Cardin,Richard Blumenthal,MD,1,Democrat,CT,1,Democrat,1,1,1
Benjamin Cardin,Robert “Bob” Casey,MD,1,Democrat,PA,1,Democrat,1,1,1
Benjamin Cardin,Robert “Bob” Menendez,MD,1,Democrat,NJ,1,Democrat,1,1,1
Benjamin Cardin,Sheldon Whitehouse,MD,1,Democrat,RI,1,Democrat,1,1,1
