name,name2,party,vote,state,state2,party2,vote2,cross_party,storm,sharevote
Amy Klobuchar,Angus King,Democrat,1,MN,ME,Democrat,1,1,0,1
Amy Klobuchar,Benjamin “Ben” Sasse,Democrat,1,MN,NE,Republican,1,0,0,1
Amy Klobuchar,Benjamin Cardin,Democrat,1,MN,MD,Democrat,1,1,0,1
Amy Klobuchar,Bernard “Bernie” Sanders,Democrat,1,MN,VT,Democrat,1,1,0,1
Amy Klobuchar,Bill Cassidy,Democrat,1,MN,LA,Republican,1,0,0,1
Amy Klobuchar,Bill Nelson,Democrat,1,MN,FL,Democrat,1,1,0,1
Amy Klobuchar,Bob Corker,Democrat,1,MN,TN,Republican,1,0,0,1
Amy Klobuchar,Brian Schatz,Democrat,1,MN,HI,Democrat,1,1,0,1
Amy Klobuchar,Catherine Cortez Masto,Democrat,1,MN,NV,Democrat,1,1,0,1
Amy Klobuchar,Charles “Chuck” Grassley,Democrat,1,MN,IA,Republican,1,0,0,1
Amy Klobuchar,Charles “Chuck” Schumer,Democrat,1,MN,NY,Democrat,1,1,0,1
Amy Klobuchar,Chris Van Hollen,Democrat,1,MN,MD,Democrat,1,1,0,1
Amy Klobuchar,Christopher Coons,Democrat,1,MN,DE,Democrat,1,1,0,1
Amy Klobuchar,Christopher Murphy,Democrat,1,MN,CT,Democrat,1,1,0,1
Amy Klobuchar,Cindy Hyde-Smith,Democrat,1,MN,MS,Republican,1,0,0,1
Amy Klobuchar,Claire McCaskill,Democrat,1,MN,MO,Democrat,1,1,0,1
Amy Klobuchar,Cory Booker,Democrat,1,MN,NJ,Democrat,1,1,0,1
Amy Klobuchar,Cory Gardner,Democrat,1,MN,CO,Republican,1,0,0,1
Amy Klobuchar,Dan Sullivan,Democrat,1,MN,AK,Republican,1,0,0,1
Amy Klobuchar,David Perdue,Democrat,1,MN,GA,Republican,1,0,0,1
Amy Klobuchar,Dean Heller,Democrat,1,MN,NV,Republican,1,0,0,1
Amy Klobuchar,Deb Fischer,Democrat,1,MN,NE,Republican,1,0,0,1
Amy Klobuchar,Debbie Stabenow,Democrat,1,MN,MI,Democrat,1,1,0,1
Amy Klobuchar,Dianne Feinstein,Democrat,1,MN,CA,Democrat,1,1,0,1
Amy Klobuchar,Doug Jones,Democrat,1,MN,AL,Democrat,1,1,0,1
Amy Klobuchar,Edward “Ed” Markey,Democrat,1,MN,MA,Democrat,1,1,0,1
Amy Klobuchar,Elizabeth Warren,Democrat,1,MN,MA,Democrat,1,1,0,1
Amy Klobuchar,Gary Peters,Democrat,1,MN,MI,Democrat,1,1,0,1
Amy Klobuchar,Heidi Heitkamp,Democrat,1,MN,ND,Democrat,1,1,0,1
Amy Klobuchar,James “Jim” Inhofe,Democrat,1,MN,OK,Republican,1,0,0,1
Amy Klobuchar,James Lankford,Democrat,1,MN,OK,Republican,1,0,0,1
Amy Klobuchar,James Risch,Democrat,1,MN,ID,Republican,1,0,0,1
Amy Klobuchar,Jeanne Shaheen,Democrat,1,MN,NH,Democrat,1,1,0,1
Amy Klobuchar,Jeff Flake,Democrat,1,MN,AZ,Republican,1,0,0,1
